,MC2
M01,7
M02,8
M03,9
M04,10
M05,12
M06,11
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,19
M14,20
W01,1
W02,3
W03,2
W04,4
W05,5
W06,6
