,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,4,2,2,1
W02,11,4,4,5,4,3,4
W03,10,15,15,15,13,14,9
W04,4,5,5,3,5,5,5
W05,2,2,3,1,3,1,3
W06,6,7,6,6,6,10,10
M01,5,0,2,2,0,4,0
M02,9,8,10,10,10,9,2
M03,0,9,9,9,8,8,6
M04,3,10,8,8,7,0,7
M05,8,3,7,7,1,7,11
M06,16,12,14,14,15,15,12
M07,12,13,12,12,12,12,13
M08,13,14,13,13,14,13,14
M09,14,11,11,11,11,11,15
M10,7,6,0,0,9,6,8
M11,15,18,17,17,17,17,16
M12,18,16,16,16,16,16,17
M13,19,19,19,19,19,19,18
M14,17,17,18,18,18,18,19
