,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,3,1,1,1
W02,3,2,2,1,2,2,3
W03,2,3,3,2,3,3,2
W04,6,7,7,7,7,7,5
W05,5,6,6,6,6,5,4
W06,4,5,4,4,5,4,6
M01,7,8,8,8,8,8,0
M02,0,0,0,0,0,0,7
M03,8,4,5,5,4,6,8
M04,10,10,10,10,9,9,9
M05,9,9,9,9,10,10,10
M06,11,11,11,11,11,11,11
M07,12,12,12,12,12,12,12
M08,13,13,13,13,13,13,13
M09,16,16,16,16,14,14,14
M10,14,15,15,15,16,16,15
M11,15,14,14,14,15,15,16
M12,18,18,18,18,18,18,17
M13,17,17,17,17,17,17,18
M14,19,19,19,19,19,19,19
