,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,2,6,6,6,7,6,5,6,7,6,7,1,1,6,1,6
M02,3,12,12,12,8,17,10,13,10,12,11,7,4,10,5,11
M03,5,10,10,10,9,12,9,12,9,10,10,5,5,11,6,12
M04,8,8,7,7,6,10,6,11,12,9,9,4,2,7,2,7
M05,6,9,9,9,10,11,8,10,11,8,8,2,3,9,3,9
M06,10,13,13,13,15,8,12,8,14,13,13,12,12,13,14,14
M07,9,11,11,11,11,9,11,9,5,11,12,3,11,12,4,10
M08,13,14,14,14,13,13,13,14,15,14,14,6,13,14,12,13
M09,19,15,15,16,17,14,14,15,18,17,17,16,15,15,16,16
M10,15,17,16,15,14,15,16,16,16,16,16,15,17,17,15,15
M11,12,16,17,17,16,16,15,17,13,15,15,17,16,16,17,17
M12,16,18,18,18,19,18,17,18,19,18,18,18,18,18,18,18
M13,20,19,19,19,20,19,18,19,20,19,19,20,19,19,20,20
M14,18,20,20,20,18,20,19,20,17,20,20,19,20,20,19,19
W01,1,1,1,1,1,1,1,1,1,1,1,9,6,1,7,1
W02,4,2,2,2,2,2,1,2,3,2,2,10,7,2,8,2
W03,14,4,4,4,3,4,3,3,4,4,3,11,9,4,10,4
W04,7,3,3,3,4,3,2,4,2,3,4,8,8,3,9,3
W05,17,7,8,8,12,7,7,7,6,7,6,14,14,8,13,8
W06,11,5,5,5,5,5,4,5,8,5,5,13,10,5,11,5
