,MC3Fair
M01,1
M02,2
M03,3
M04,4
M05,6
M06,11
M07,14
M08,8
M09,15
M10,17
M11,18
M12,16
M13,19
M14,20
W01,7
W02,9
W03,5
W04,10
W05,12
W06,13
