,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,19,19,19,19,19,17,15
W02,15,16,16,16,16,19,12
W03,14,14,13,13,14,14,16
W04,13,11,14,14,12,15,17
W05,18,18,18,18,18,16,18
W06,0,1,1,1,0,1,0
M01,8,9,10,10,5,9,6
M02,4,2,3,2,6,3,7
M03,6,5,4,3,7,6,8
M04,10,7,8,8,9,10,9
M05,16,15,15,15,15,13,10
M06,9,10,9,9,10,12,13
M07,5,4,6,6,3,5,3
M08,2,0,2,5,1,0,1
M09,3,6,5,4,4,4,4
M10,12,12,12,12,11,8,5
M11,17,17,17,17,17,18,19
M12,7,8,7,7,8,7,14
M13,11,13,11,11,13,11,11
M14,1,3,0,0,2,2,2
