,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,3,3,3,4,3,3
W02,8,1,2,1,1,1,2
W03,5,10,8,8,9,10,8
W04,1,2,1,2,3,2,4
W05,14,14,14,14,12,11,9
W06,7,7,10,10,5,8,5
M01,0,6,7,7,7,5,1
M02,9,8,9,9,8,9,6
M03,3,0,0,0,0,0,0
M04,4,4,4,4,2,4,7
M05,12,12,13,13,13,12,10
M06,6,5,6,6,6,7,12
M07,10,9,5,5,10,6,11
M08,13,13,12,12,14,13,13
M09,11,11,11,11,11,14,14
M10,15,15,15,15,15,15,15
M11,16,16,16,16,16,17,16
M12,17,17,17,17,17,16,17
M13,18,18,18,18,18,18,18
M14,19,19,19,19,19,19,19
