,MC2
M01,6
M02,10
M03,11
M04,7
M05,9
M06,13
M07,12
M08,14
M09,15
M10,17
M11,16
M12,18
M13,19
M14,20
W01,1
W02,2
W03,4
W04,3
W05,8
W06,5
