,MC2Fair
M01,1
M02,4
M03,5
M04,2
M05,3
M06,12
M07,11
M08,13
M09,15
M10,17
M11,16
M12,18
M13,19
M14,20
W01,6
W02,7
W03,9
W04,8
W05,14
W06,10
