,MC2Fair
M01,2
M02,4
M03,13
M04,8
M05,18
M06,17
M07,14
M08,15
M09,5
M10,10
M11,19
M12,11
M13,1
M14,16
W01,12
W02,6
W03,3
W04,9
W05,20
W06,7
