,MC3Fair
M01,2
M02,4
M03,1
M04,3
M05,6
M06,7
M07,13
M08,15
M09,14
M10,17
M11,16
M12,18
M13,19
M14,20
W01,5
W02,8
W03,12
W04,11
W05,10
W06,9
