,MC3Fair
M01,2
M02,1
M03,8
M04,3
M05,4
M06,7
M07,12
M08,14
M09,17
M10,15
M11,16
M12,18
M13,19
M14,20
W01,10
W02,11
W03,9
W04,13
W05,6
W06,5
