,MC1Fair
M01,3
M02,1
M03,9
M04,4
M05,2
M06,5
M07,8
M08,7
M09,17
M10,6
M11,16
M12,18
M13,19
M14,20
W01,15
W02,13
W03,11
W04,14
W05,12
W06,10
