,MC1Fair
M01,2
M02,1
M03,4
M04,3
M05,5
M06,6
M07,14
M08,15
M09,13
M10,17
M11,16
M12,18
M13,19
M14,20
W01,7
W02,9
W03,8
W04,10
W05,11
W06,12
