,MC2
M01,7
M02,8
M03,9
M04,10
M05,11
M06,12
M07,13
M08,15
M09,16
M10,14
M11,17
M12,18
M13,19
M14,20
W01,1
W02,3
W03,2
W04,6
W05,4
W06,5
