,MC1Fair
M01,1
M02,2
M03,3
M04,5
M05,4
M06,13
M07,7
M08,15
M09,16
M10,14
M11,18
M12,17
M13,20
M14,19
W01,6
W02,8
W03,9
W04,11
W05,10
W06,12
