,MC2
M01,5
M02,3
M03,19
M04,15
M05,18
M06,2
M07,20
M08,16
M09,1
M10,10
M11,7
M12,4
M13,12
M14,13
W01,17
W02,8
W03,6
W04,14
W05,11
W06,9
