,MC2Fair
M01,3
M02,2
M03,4
M04,5
M05,6
M06,7
M07,8
M08,9
M09,10
M10,11
M11,13
M12,17
M13,19
M14,20
W01,1
W02,12
W03,14
W04,15
W05,16
W06,18
