,MC2
M01,2
M02,3
M03,4
M04,5
M05,12
M06,11
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,19
M14,20
W01,1
W02,6
W03,7
W04,8
W05,9
W06,10
