,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,1,1,1,1
W02,5,5,5,5,2,4,3
W03,6,6,6,6,6,5,4
W04,11,11,11,11,11,11,8
W05,13,15,15,15,13,13,11
W06,8,9,10,10,7,9,5
M01,2,2,4,4,3,6,2
M02,0,0,0,0,0,3,6
M03,3,3,2,2,4,0,7
M04,4,4,3,3,5,2,0
M05,9,8,8,8,9,8,9
M06,7,7,7,7,8,7,10
M07,10,10,9,9,10,10,12
M08,12,12,12,12,12,12,13
M09,14,13,14,14,14,14,14
M10,15,14,13,13,15,15,15
M11,16,16,16,16,16,16,16
M12,17,17,17,17,17,17,17
M13,19,19,19,19,18,18,18
M14,18,18,18,18,19,19,19
