,MC3
M01,11
M02,4
M03,6
M04,9
M05,8
M06,12
M07,15
M08,13
M09,16
M10,14
M11,17
M12,18
M13,19
M14,20
W01,3
W02,5
W03,10
W04,7
W05,1
W06,2
