,MC2Fair
M01,1
M02,2
M03,3
M04,4
M05,6
M06,11
M07,13
M08,15
M09,16
M10,14
M11,17
M12,18
M13,19
M14,20
W01,5
W02,7
W03,8
W04,12
W05,9
W06,10
