,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.029668610762980163,0.3333333333333333
ranker 2,-42.857142857142854,-42.857142857142854,23.809523809523803,-0.015953643255457284,0.7142857142857143
ranker 3,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.179453791427316,0.6190476190476191
ranker 4,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08345664944337378,0.16666666666666666
ranker 5,-42.857142857142854,-42.857142857142854,-42.857142857142854,0.08767239453489173,0.07142857142857142
ranker 6,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.12101760388741217,0.19047619047619047
ranker 7,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.1601984082557117,0.6428571428571429
ranker 8,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.17468380198561595,0.7857142857142857
ranker 9,-42.857142857142854,-26.19047619047619,-9.523809523809526,-0.004865413232240545,0.4523809523809524
ranker 10,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10874789492126663,0.2619047619047619
ranker 11,-42.857142857142854,-42.857142857142854,7.142857142857146,0.02650151449307725,0.5
ranker 12,-42.857142857142854,-26.19047619047619,-9.523809523809526,-0.012685250163318229,0.35714285714285715
