,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,8,2,2,7,2,2,1
W02,3,7,7,6,7,6,12
W03,2,6,4,3,4,4,4
W04,9,5,6,5,8,7,6
W05,4,4,3,2,3,3,2
W06,7,3,5,4,5,5,7
M01,17,9,8,8,9,8,8
M02,11,11,11,11,11,11,9
M03,1,0,0,0,0,0,0
M04,10,12,13,13,12,13,13
M05,6,10,10,10,1,10,3
M06,5,1,1,1,6,1,5
M07,12,13,12,12,13,12,10
M08,0,8,9,9,10,9,11
M09,14,17,17,17,14,14,14
M10,13,14,14,14,15,17,16
M11,15,15,15,15,16,16,17
M12,16,16,16,16,17,15,15
M13,19,19,19,19,19,18,18
M14,18,18,18,18,18,19,19
