,MC3Fair
M01,1
M02,2
M03,7
M04,8
M05,12
M06,11
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,19
M14,20
W01,3
W02,4
W03,5
W04,6
W05,9
W06,10
