,MC2Fair
M01,2
M02,3
M03,4
M04,1
M05,14
M06,11
M07,12
M08,9
M09,15
M10,17
M11,13
M12,16
M13,19
M14,20
W01,5
W02,6
W03,8
W04,18
W05,10
W06,7
