,MC2
M01,7
M02,8
M03,10
M04,6
M05,15
M06,12
M07,13
M08,11
M09,16
M10,18
M11,14
M12,17
M13,19
M14,20
W01,1
W02,2
W03,4
W04,9
W05,5
W06,3
