,MC3
M01,6
M02,9
M03,10
M04,7
M05,17
M06,13
M07,12
M08,11
M09,16
M10,14
M11,15
M12,18
M13,20
M14,19
W01,1
W02,2
W03,3
W04,8
W05,5
W06,4
