,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,3,4,4,3,4,3,2
W02,4,7,7,7,5,5,5
W03,1,3,2,1,2,2,3
W04,2,1,1,4,1,1,1
W05,8,11,9,9,10,11,6
W06,12,2,3,2,3,4,4
M01,6,6,6,6,8,6,0
M02,7,9,8,8,6,8,8
M03,5,5,0,0,0,0,7
M04,0,0,5,5,7,7,9
M05,11,12,12,12,12,12,13
M06,10,10,11,11,11,9,10
M07,14,14,13,13,13,13,11
M08,9,8,10,10,9,10,12
M09,13,13,14,14,14,15,16
M10,16,18,17,17,16,14,14
M11,15,17,18,18,15,16,15
M12,17,15,16,16,18,18,17
M13,18,16,15,15,17,17,18
M14,19,19,19,19,19,19,19
