,MC3Fair
M01,12
M02,4
M03,9
M04,13
M05,19
M06,16
M07,6
M08,2
M09,5
M10,10
M11,20
M12,8
M13,14
M14,3
W01,17
W02,18
W03,7
W04,11
W05,15
W06,1
