,MC1
M01,16
M02,5
M03,6
M04,14
M05,8
M06,2
M07,15
M08,10
M09,11
M10,19
M11,12
M12,13
M13,7
M14,9
W01,1
W02,20
W03,3
W04,4
W05,18
W06,17
