,MC2
M01,11
M02,4
M03,7
M04,12
M05,16
M06,10
M07,6
M08,1
M09,5
M10,9
M11,19
M12,8
M13,13
M14,2
W01,18
W02,17
W03,15
W04,14
W05,20
W06,3
