,MC2Fair
M01,10
M02,4
M03,7
M04,13
M05,19
M06,15
M07,6
M08,2
M09,5
M10,12
M11,20
M12,8
M13,18
M14,3
W01,16
W02,14
W03,9
W04,11
W05,17
W06,1
