,MC2
M01,9
M02,4
M03,6
M04,11
M05,10
M06,12
M07,13
M08,14
M09,17
M10,15
M11,16
M12,19
M13,18
M14,20
W01,1
W02,2
W03,3
W04,7
W05,8
W06,5
