,MC1Fair
M01,3
M02,1
M03,2
M04,4
M05,5
M06,6
M07,15
M08,14
M09,13
M10,17
M11,18
M12,20
M13,16
M14,19
W01,7
W02,8
W03,9
W04,12
W05,10
W06,11
