,MC2
M01,7
M02,9
M03,8
M04,10
M05,12
M06,11
M07,13
M08,14
M09,15
M10,16
M11,19
M12,17
M13,18
M14,20
W01,3
W02,1
W03,5
W04,2
W05,6
W06,4
