,MC2Fair
M01,1
M02,3
M03,2
M04,4
M05,8
M06,9
M07,13
M08,14
M09,15
M10,16
M11,19
M12,17
M13,18
M14,20
W01,12
W02,5
W03,11
W04,6
W05,10
W06,7
