,fairness_aggregation@10,fairness_aggregation@20,fairness_aggregation@50,exposure_aggregation,R_par_results,kemeny_distance,consensus accuracy,topKparity
EPIK,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.04406636287811916,0.6428571428571429,0.2719298245614035,0.7052631578947368,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Kemeny,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.009821220450118073,0.6428571428571429,0.25175438596491223,0.7052631578947368,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.009821220450118073,0.6428571428571429,0.2526315789473684,0.6921052631578948,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Copeland_noWiG,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.009821220450118073,0.6428571428571429,0.25789473684210523,0.6815789473684211,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Schulze,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.009821220450118073,0.6428571428571429,0.2535087719298246,0.7157894736842105,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Borda,-42.857142857142854,-26.19047619047619,40.47619047619049,-0.011519884483971343,0.6666666666666666,0.2517543859649123,0.706140350877193,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
EPIRA+Maximin,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.029315475423457082,0.5952380952380952,0.26403508771929823,0.6596491228070176,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
