,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,10,9,8,8,3,8,8,3,5,11,13,5,6,9,6,8
M02,3,3,3,3,4,9,2,4,1,8,9,4,2,2,2,3
M03,2,1,1,1,6,1,2,5,4,1,4,1,3,3,1,1
M04,6,4,4,4,7,10,3,9,9,5,6,2,5,4,3,4
M05,4,7,5,5,8,12,4,10,3,7,7,6,4,5,4,5
M06,13,12,12,12,9,13,11,13,14,9,8,7,7,12,12,12
M07,8,13,13,13,10,11,12,12,13,13,11,3,8,13,13,13
M08,9,14,14,14,14,14,13,14,12,14,14,8,9,14,15,14
M09,12,15,15,15,15,16,14,17,16,15,15,15,10,15,14,15
M10,15,16,16,16,16,17,15,16,17,16,16,16,12,16,16,16
M11,16,17,17,17,17,15,16,15,15,17,17,17,15,17,17,17
M12,18,18,18,18,18,18,17,18,18,18,18,18,16,18,18,18
M13,19,19,19,19,19,19,18,19,20,19,19,20,17,19,20,20
M14,20,20,20,20,20,20,19,20,19,20,20,19,19,20,19,19
W01,7,5,6,6,11,2,5,6,6,3,1,9,11,6,9,6
W02,11,6,7,7,12,3,6,7,10,4,2,12,13,7,8,7
W03,5,8,9,10,13,4,7,8,11,6,3,13,14,8,10,9
W04,17,10,10,9,1,6,9,1,7,10,10,11,20,10,7,10
W05,14,11,11,11,5,7,10,11,8,12,12,14,18,11,11,11
W06,1,2,2,2,2,5,1,2,2,2,5,10,1,1,5,2
