,MC3Fair
M01,9
M02,17
M03,3
M04,11
M05,18
M06,8
M07,4
M08,16
M09,6
M10,10
M11,7
M12,15
M13,19
M14,1
W01,13
W02,2
W03,5
W04,12
W05,14
W06,20
