,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,0,0,1,3,0,0,0
W02,7,3,3,2,5,3,6
W03,3,2,2,1,2,2,3
W04,9,10,10,10,10,9,10
W05,8,9,8,8,8,10,16
W06,6,6,4,4,3,4,1
M01,1,5,7,7,6,6,2
M02,2,1,0,0,1,1,4
M03,12,12,12,12,12,11,11
M04,4,4,5,5,4,5,5
M05,14,14,14,14,13,13,17
M06,5,8,6,6,7,7,12
M07,17,17,17,17,17,17,13
M08,10,7,9,9,9,8,7
M09,16,16,16,16,16,16,8
M10,13,13,15,15,15,15,14
M11,11,11,11,11,14,14,9
M12,15,15,13,13,11,12,15
M13,19,19,19,19,19,19,18
M14,18,18,18,18,18,18,19
