,MC3
M01,6
M02,8
M03,11
M04,10
M05,12
M06,9
M07,13
M08,14
M09,16
M10,17
M11,15
M12,18
M13,19
M14,20
W01,1
W02,2
W03,3
W04,4
W05,5
W06,7
