,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,23.809523809523803,-0.18018834146294188,0.7619047619047619
ranker 2,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.13920437187065868,0.38095238095238093
ranker 3,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.1858883948334939,0.5714285714285714
ranker 4,-42.857142857142854,-26.19047619047619,7.142857142857146,-0.014395084006212644,0.40476190476190477
ranker 5,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.10856928318927012,0.14285714285714285
ranker 6,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.10776918985159822,0.16666666666666666
ranker 7,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21330346065280234,0.6904761904761905
ranker 8,-26.19047619047619,-26.19047619047619,-9.523809523809526,-0.1200595986321118,0.38095238095238093
ranker 9,-42.857142857142854,-42.857142857142854,7.142857142857146,0.025494816100373463,0.3333333333333333
ranker 10,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.17312524273637134,0.47619047619047616
ranker 11,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.21671042372304647,0.7619047619047619
ranker 12,-26.19047619047619,-9.523809523809526,23.809523809523803,-0.20056072877156222,0.6666666666666666
