,MC3
M01,8
M02,3
M03,1
M04,4
M05,5
M06,12
M07,13
M08,14
M09,15
M10,16
M11,17
M12,18
M13,20
M14,19
W01,6
W02,7
W03,9
W04,10
W05,11
W06,2
