,MC1Fair
M01,5
M02,4
M03,1
M04,2
M05,6
M06,7
M07,3
M08,8
M09,15
M10,16
M11,17
M12,18
M13,20
M14,19
W01,9
W02,12
W03,13
W04,11
W05,14
W06,10
