,MC2Fair
M01,6
M02,2
M03,3
M04,5
M05,4
M06,7
M07,8
M08,9
M09,10
M10,12
M11,15
M12,16
M13,17
M14,19
W01,11
W02,13
W03,14
W04,20
W05,18
W06,1
