,MC2Fair
M01,4
M02,3
M03,7
M04,11
M05,1
M06,2
M07,15
M08,9
M09,13
M10,16
M11,18
M12,19
M13,17
M14,20
W01,5
W02,6
W03,14
W04,10
W05,12
W06,8
