,MC2
M01,11
M02,8
M03,12
M04,10
M05,6
M06,7
M07,15
M08,13
M09,14
M10,18
M11,17
M12,19
M13,16
M14,20
W01,1
W02,2
W03,9
W04,3
W05,5
W06,4
