,MC3
M01,10
M02,12
M03,11
M04,8
M05,5
M06,9
M07,15
M08,13
M09,14
M10,18
M11,16
M12,17
M13,19
M14,20
W01,1
W02,2
W03,7
W04,3
W05,6
W06,4
