,fairness_rankers@10,fairness_rankers@20,fairness_rankers@50,exposure_rankers,R_par_rankers
ranker 1,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12900894428234577,0.38095238095238093
ranker 2,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.07461114039514374,0.19047619047619047
ranker 3,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.18234621637245538,0.30952380952380953
ranker 4,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.05654247322764405,0.023809523809523808
ranker 5,-42.857142857142854,-42.857142857142854,-26.19047619047619,0.08100695474961364,0.16666666666666666
ranker 6,-42.857142857142854,-42.857142857142854,-9.523809523809526,0.04396134331211299,0.30952380952380953
ranker 7,-26.19047619047619,-9.523809523809526,7.142857142857146,-0.19328812933741787,0.5238095238095238
ranker 8,-42.857142857142854,-26.19047619047619,-9.523809523809526,0.010054006080657707,0.19047619047619047
ranker 9,-42.857142857142854,-26.19047619047619,-26.19047619047619,0.03444834618563419,0.07142857142857142
ranker 10,-42.857142857142854,-42.857142857142854,7.142857142857146,0.014724077490961884,0.3333333333333333
ranker 11,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.12918853652362977,0.42857142857142855
ranker 12,-26.19047619047619,-26.19047619047619,7.142857142857146,-0.13099328940164018,0.16666666666666666
