,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,5,6,6,9,6,17
W02,6,6,5,4,4,5,4
W03,10,2,1,3,1,1,1
W04,3,4,4,5,2,3,2
W05,14,14,17,17,17,18,9
W06,4,3,3,1,5,4,5
M01,1,0,2,2,0,2,0
M02,17,17,13,13,6,11,6
M03,18,13,12,12,13,13,10
M04,7,7,8,8,8,8,11
M05,19,19,19,19,19,16,12
M06,15,15,16,16,16,17,18
M07,13,12,14,14,11,14,13
M08,9,11,11,11,12,12,14
M09,12,10,10,10,7,10,7
M10,8,8,7,7,14,7,19
M11,5,18,18,18,18,19,15
M12,11,9,9,9,10,9,8
M13,0,1,0,0,3,0,3
M14,16,16,15,15,15,15,16
