,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,2,3,2,3,3,2,3
W02,3,2,3,7,2,4,2
W03,4,6,4,2,5,3,4
W04,6,5,6,5,4,6,5
W05,9,7,7,6,7,7,9
W06,5,4,5,4,6,5,6
M01,0,0,0,0,0,0,0
M02,8,1,1,1,8,1,10
M03,10,10,9,9,10,10,7
M04,7,9,8,8,1,8,1
M05,12,12,12,12,12,12,12
M06,1,8,11,11,9,9,8
M07,11,11,10,10,11,11,13
M08,13,14,14,14,14,14,14
M09,14,13,13,13,13,13,11
M10,15,15,15,15,15,15,15
M11,17,17,17,17,16,16,16
M12,16,16,16,16,17,17,17
M13,18,18,18,18,18,19,18
M14,19,19,19,19,19,18,19
