,MC1Fair
M01,4
M02,7
M03,6
M04,1
M05,14
M06,12
M07,17
M08,3
M09,15
M10,5
M11,13
M12,16
M13,20
M14,19
W01,2
W02,9
W03,8
W04,18
W05,10
W06,11
