,MC1Fair
M01,1
M02,2
M03,5
M04,3
M05,8
M06,6
M07,4
M08,9
M09,7
M10,13
M11,18
M12,17
M13,19
M14,20
W01,10
W02,16
W03,11
W04,12
W05,15
W06,14
