,MC2
M01,3
M02,8
M03,11
M04,9
M05,13
M06,10
M07,12
M08,15
M09,14
M10,16
M11,18
M12,17
M13,19
M14,20
W01,1
W02,2
W03,4
W04,5
W05,7
W06,6
