,MC3Fair
M01,1
M02,3
M03,5
M04,2
M05,7
M06,4
M07,12
M08,15
M09,14
M10,16
M11,18
M12,17
M13,20
M14,19
W01,9
W02,8
W03,6
W04,11
W05,13
W06,10
