,MC2
M01,10
M02,4
M03,6
M04,8
M05,9
M06,12
M07,16
M08,13
M09,14
M10,15
M11,17
M12,18
M13,19
M14,20
W01,3
W02,5
W03,11
W04,7
W05,1
W06,2
