,bestRankAggregated,borda_aggregation,exponential_enhanced_borda,exponential_weighting,highest_rank,lowest_rank,mc4_aggregator,robust_aggregation,round_robin,stability_enhanced_borda,stability_selection,MC1Fair,MC2Fair,MC2,MC3Fair,MC3
M01,3,6,6,6,9,6,7,7,10,6,6,1,1,7,1,6
M02,5,7,7,9,7,7,10,8,2,7,8,2,3,9,2,7
M03,2,10,10,10,10,9,8,10,8,11,10,6,2,8,4,10
M04,6,9,9,8,8,8,9,9,9,9,11,3,4,10,3,9
M05,8,11,11,11,11,10,11,11,13,10,9,5,8,12,5,11
M06,9,12,12,12,12,12,11,12,11,12,12,4,9,11,6,12
M07,12,13,13,13,13,13,12,13,14,13,13,13,13,13,13,13
M08,10,14,14,14,14,17,13,15,12,14,14,14,14,14,14,14
M09,13,15,15,15,18,14,14,14,16,15,15,15,15,15,15,15
M10,15,16,16,16,15,15,15,16,17,16,16,16,16,16,17,16
M11,19,19,19,19,19,18,18,18,18,17,17,19,19,19,19,19
M12,16,17,17,17,16,16,16,17,15,18,18,18,17,17,18,18
M13,18,18,18,18,17,19,17,19,20,19,19,17,18,18,16,17
M14,20,20,20,20,20,20,19,20,19,20,20,20,20,20,20,20
W01,7,3,4,4,1,2,4,1,1,3,1,11,12,3,10,3
W02,11,1,1,1,2,1,1,2,3,1,2,7,5,1,7,1
W03,17,8,8,7,3,11,5,3,6,8,7,12,11,5,12,8
W04,14,2,2,2,4,3,2,4,7,2,3,8,6,2,9,2
W05,4,5,5,5,6,4,6,6,5,5,4,9,10,6,11,5
W06,1,4,3,3,5,5,3,5,4,4,5,10,7,4,8,4
