,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,1,1,5,1,1,1
W02,2,2,2,1,2,2,2
W03,4,4,4,3,4,3,3
W04,7,8,8,8,7,7,5
W05,5,5,5,4,5,4,6
W06,3,3,3,2,3,5,4
M01,6,6,6,6,6,6,0
M02,8,7,7,7,8,8,7
M03,11,10,10,10,9,9,8
M04,0,0,0,0,0,0,9
M05,14,14,14,14,14,14,12
M06,13,13,13,13,13,12,13
M07,10,11,12,12,11,11,14
M08,9,9,9,9,10,10,10
M09,15,15,16,16,15,15,15
M10,17,17,17,17,16,16,11
M11,12,12,11,11,12,13,16
M12,16,16,15,15,17,17,17
M13,18,18,18,18,19,19,18
M14,19,19,19,19,18,18,19
