,EPIK,EPIRA+Kemeny,EPIRA+Copeland,EPIRA+Copeland_noWiG,EPIRA+Schulze,EPIRA+Borda,EPIRA+Maximin
W01,1,2,2,5,2,2,2
W02,5,3,3,6,3,3,3
W03,7,5,5,3,5,4,4
W04,4,8,8,8,7,7,6
W05,9,6,6,4,6,5,7
W06,6,4,4,2,4,6,5
M01,0,1,1,1,1,1,0
M02,3,7,7,7,8,8,1
M03,10,10,10,10,9,9,8
M04,8,0,0,0,0,0,9
M05,12,14,14,14,14,14,12
M06,15,13,13,13,13,12,13
M07,11,11,12,12,11,11,14
M08,2,9,9,9,10,10,10
M09,13,15,16,16,15,15,15
M10,17,17,17,17,16,16,11
M11,14,12,11,11,12,13,16
M12,16,16,15,15,17,17,17
M13,18,18,18,18,19,19,18
M14,19,19,19,19,18,18,19
