,MC3Fair
M01,4
M02,6
M03,1
M04,14
M05,3
M06,2
M07,12
M08,5
M09,16
M10,17
M11,18
M12,15
M13,19
M14,20
W01,7
W02,11
W03,8
W04,13
W05,9
W06,10
