,MC3
M01,10
M02,12
M03,2
M04,14
M05,9
M06,6
M07,13
M08,11
M09,16
M10,18
M11,17
M12,15
M13,19
M14,20
W01,1
W02,7
W03,3
W04,8
W05,4
W06,5
