,MC1
M01,3
M02,5
M03,12
M04,14
M05,15
M06,2
M07,10
M08,4
M09,9
M10,16
M11,7
M12,6
M13,19
M14,20
W01,1
W02,18
W03,8
W04,17
W05,11
W06,13
