,MC2Fair
M01,1
M02,4
M03,7
M04,5
M05,10
M06,6
M07,9
M08,15
M09,14
M10,16
M11,17
M12,18
M13,19
M14,20
W01,8
W02,2
W03,3
W04,13
W05,12
W06,11
